Order_ID,User_ID,Restaurant_ID,Driver_ID,Item_Name,Quantity,Total_Price,Order_Time,Delivery_Time,Delivery_Duration_Minutes,City,Payment_Method,Order_Status,Driver_Vehicle,Restaurant_Lat,Restaurant_Lon,Customer_Lat,Customer_Lon,Driver_Lat,Driver_Lon,Delivery_Distance_km,Traffic_Level,Driver_Availability
56795,U4934,991,313,Sushi,5,305.65000000000003,2025-06-11 14:37:00,2025-06-11 14:58:00,21,Giza,Wallet,Delivered,Car,30.01173889581408,31.2206102327719,30.01951970215285,31.19665367373467,30.026239662689125,31.2003321746788,2.466821501834358,Medium,Online
81167,U8701,151,316,Pizza,4,446.4,2025-06-08 20:13:00,2025-06-08 20:49:00,36,Cairo,Cash,In Transit,Car,30.04541329974065,31.22393881027598,30.06272440353047,31.22066286328989,30.05053615847791,31.237185231312665,1.9448234733927072,Low,Online
75889,U7689,138,363,Koshary,3,394.5,2025-06-07 03:29:00,2025-06-07 04:20:00,51,Mansoura,Credit Card,Delivered,Car,31.057534458199545,31.366191743267628,31.04563758255596,31.37310891764932,31.02000146588053,31.39932804868666,1.475038187419032,Low,Online
34786,U7076,540,258,Burger,4,139.2,2025-06-09 20:49:00,2025-06-09 21:30:00,41,Tanta,Wallet,Cancelled,Bicycle,30.787491517446043,30.993808848461125,30.789227762018765,30.98404156539648,30.805721563725456,30.99726208957548,0.9544821513605596,Low,Online
38475,U6245,847,110,Salad,2,207.02,2025-06-08 12:05:00,2025-06-08 12:33:00,28,Tanta,Credit Card,Cancelled,Bicycle,30.80342707617776,30.983385889124406,30.768537502831204,30.992124400538533,30.792270671993577,30.987853710826215,3.957460493215598,Medium,Online
88329,U3379,454,90,Sandwich,1,125.68,2025-06-02 04:02:00,2025-06-02 04:33:00,31,Alexandria,Cash,Delivered,Car,31.18029957190316,29.92296724032224,31.180552008251656,29.899448546870243,31.211354691975284,29.929650998645094,2.2420700033080636,Low,Online
79499,U3029,168,479,Sushi,2,243.62,2025-06-15 01:06:00,2025-06-15 01:59:00,53,Giza,Credit Card,Delivered,Motorbike,30.013826321382,31.21534752159854,30.0202332828545,31.2283034117452,29.995995318970373,31.212203865832887,1.4375520428198976,Low,Online
27325,U3674,473,321,Fried Chicken,1,149.87,2025-06-04 01:02:00,2025-06-04 01:53:00,51,Tanta,Cash,Cancelled,Car,30.794454369221196,30.99858638244249,30.79148657556351,31.002606541933364,30.799764032356883,31.00684501334298,0.5062670326944896,Low,Online
73621,U8696,704,42,Pasta,4,562.32,2025-06-14 06:45:00,2025-06-14 07:33:00,48,Zagazig,Credit Card,Delivered,Car,30.57365320380815,31.508104480545686,30.602104574960908,31.5194315876308,30.587648821727143,31.50068859849043,3.3360438497065936,Low,Online
18180,U3260,458,183,Pasta,5,194.95,2025-06-03 02:50:00,2025-06-03 03:15:00,25,Alexandria,Cash,Delivered,Motorbike,31.193297200833698,29.906174778711215,31.187237289310815,29.91378142660103,31.202041848469257,29.92643967132654,0.9884718889462536,Low,Online
29356,U5273,55,448,Salad,1,53.38,2025-06-16 03:08:00,2025-06-16 03:51:00,43,Assiut,Wallet,In Transit,Motorbike,27.19864640103214,31.175277661577905,27.18599748288415,31.200375340175572,27.168587912201374,31.188447475064415,2.854590404857745,Low,Online
39191,U3510,826,355,Sushi,3,422.46,2025-06-16 03:36:00,2025-06-16 04:18:00,42,Assiut,Cash,Delivered,Car,27.19433723971283,31.190657913862307,27.169779231447553,31.178274511738454,27.18399656895431,31.196622221412355,2.9850772270381856,Low,Offline
36603,U1483,515,470,Salad,2,68.18,2025-06-09 05:33:00,2025-06-09 06:04:00,31,Mansoura,Wallet,Delivered,Car,31.025717914999067,31.374393114689727,31.03464852535335,31.36607899467047,31.05357143782372,31.36518864339963,1.2690402165152663,Low,Online
91832,U3933,937,103,Pasta,4,422.84,2025-06-04 15:40:00,2025-06-04 16:03:00,23,Alexandria,Cash,Cancelled,Car,31.191010085356844,29.932658406280847,31.215263954024277,29.920289540939855,31.20629139115466,29.903359413505843,2.93611019920353,Medium,Online
38565,U2078,311,370,Pizza,4,529.32,2025-06-11 12:56:00,2025-06-11 13:31:00,35,Alexandria,Wallet,Delivered,Car,31.200654468474003,29.935878714723913,31.204637183572103,29.93268250845584,31.211144166651557,29.903372067698715,0.5364441832471398,Medium,Online
32105,U2412,388,106,Koshary,3,173.55,2025-06-10 23:37:00,2025-06-11 00:15:00,38,Tanta,Cash,Cancelled,Car,30.76880911835209,30.985050856138113,30.78112589989026,30.983836352373174,30.784402493504068,31.01049247249989,1.3704478664906887,Low,Offline
23463,U7355,780,314,Fried Chicken,4,165.68,2025-06-13 14:38:00,2025-06-13 15:10:00,32,Cairo,Credit Card,In Transit,Bicycle,30.02607705417512,31.22451421594708,30.060050391933917,31.238652686230925,30.04098901879594,31.254630382755217,4.0053085242535165,Medium,Offline
22499,U9999,236,211,Pasta,2,128.88,2025-06-06 11:14:00,2025-06-06 11:40:00,26,Giza,Credit Card,In Transit,Car,30.031194060158363,31.226883415643552,30.021427482478902,31.19884423569323,30.02479465338318,31.19915907656074,2.9133218335004782,Medium,Online
74655,U8351,76,4,Shawarma,5,540.5,2025-06-06 06:29:00,2025-06-06 07:16:00,47,Assiut,Cash,Delivered,Motorbike,27.180184057878193,31.198743955237617,27.183069231316995,31.196194569736964,27.16902826526697,31.200961220412797,0.4074651059796287,Low,Online
92576,U7203,288,253,Sushi,1,75.96,2025-06-06 23:41:00,2025-06-07 00:36:00,55,Alexandria,Credit Card,Delivered,Motorbike,31.210911713657453,29.930685041259775,31.190862155389592,29.9267308077461,31.18568252669047,29.92920925904534,2.254670309700062,Low,Online
62448,U6752,66,119,Burger,1,127.88,2025-06-08 01:21:00,2025-06-08 02:12:00,51,Zagazig,Credit Card,Delivered,Car,30.585061302032777,31.515691316246187,30.579284418914273,31.50070809365392,30.578715149019644,31.52085280661591,1.573403419901607,Low,Online
23235,U3014,209,424,Salad,3,116.22,2025-06-05 01:19:00,2025-06-05 01:59:00,40,Giza,Wallet,Delivered,Car,30.02525505508577,31.212855463872064,29.9990225997924,31.222854459249465,30.024799204746877,31.20779842260611,3.063763175991168,Low,Online
5495,U4504,586,156,Sandwich,5,701.4,2025-06-06 21:48:00,2025-06-06 22:18:00,30,Cairo,Wallet,Delivered,Bicycle,30.043377396565887,31.220976639081425,30.03347343704082,31.23816277249779,30.04373374585277,31.22405431393615,1.9882013612782212,Low,Online
80482,U5963,881,326,Pizza,2,260.56,2025-06-09 09:13:00,2025-06-09 09:29:00,16,Zagazig,Wallet,Delivered,Car,30.593501532189773,31.500484209575724,30.59280109859013,31.486048790331065,30.59292300821292,31.521874354600182,1.3866383764880232,High,Online
